UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
RANGSIT UNIVERSITY,International,69
UNIVERSITY OF CALIFORNIA - DAVIS,International,43
UNIVERSITY OF CALIFORNIA - IRVINE,International,40
TRINITY COLLEGE,International,40
RANGSIT UNIVERSITY THAILAND,International,38
MAHIDOL UNIVERSITY,International,36
UNIVERSITY OF CALIFORNIA LOS ANGELES,International,30
MAHIDOL UNIVERSITY THAILAND,International,28
CHULALONGKORN UNIVERSITY,International,28
CALIFORNIA STATE UNIVERSITY,International,27
UNIVERSITY OF CALIFORNIA RIVERSIDE CA USA,International,25
AL KWARIZMI INTERNATIONAL COLLEGE FOUNDATION,International,23
UNIVERSITY OF CALIFORNIA - SAN DIEGO,International,23
CHIANG MAI UNIVERSITY,International,23
THAMMASAT UNIVERSITY,International,20
UNIVERSITY OF CALIFORNIA-RIVERSIDE,International,19
WESTERN STATE UNIVERSITY OF COLORADO,International,19
UNIVERSITY OF TORONTO,International,17
UNIVERSITY OF CALIFORNIA BERKELEY,International,17
MAE FAH LUANG UNIVERSITY,International,17
CHULALONGKORN UNIVERSITY THAILAND,International,17
UNIVERSITY OF WASHINGTON,International,16
NARESUAN UNIVERSITY,International,15
UNIVERSITY OF FLORIDA,International,15
MONAD UNIVERSITY,International,14
UNIVERSITY OF NEVADA LAS VEGAS,International,12
UNIVERSITY OF CALIFORNIA SANTA BARBARA,International,12
UNIVERSITY OF SAN FRANCISCO,International,11
HUACHIEW CHALERMPRAKIET UNIVERSITY,International,11
SRINAKHARINWIROT UNIVERSITY,International,11
RUTGERS UNIVERSITY NEW JERSEY,International,11
RUTGERS UNIVERSITY,International,10
UNIVERSITY OF GUAM,International,10
UNIVERSITAS ADVENT INDONESIA,International,10
UNIVERSITY OF CENTRAL FLORIDA,International,10
STONY BROOK UNIVERSITY,International,9
CALIFORNIA STATE UNIVERSITY LONG BEACH,International,9
CALIFORNIA STATE UNIVERSITY FRESNO,International,9
BURAPHA UNIVERSITY,International,9
VIRGINIA COMMONWEALTH UNIVERSITY,International,9
UNIVERSITY OF CALIFORNIA AT STA. CRUZ U.S.A.,International,9
