UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
UNIVERSITY OF SANTO TOMAS,Local,18038
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTA,Local,4528
FAR EASTERN UNIVERSITY,Local,4309
SAN PEDRO COLLEGE,Local,3644
SAINT LOUIS UNIVERSITY,Local,3221
CEBU DOCTOR'S UNIVERSITY,Local,2406
DE LA SALLE UNIVERSITY - MANILA,Local,2242
OUR LADY OF FATIMA UNIVERSITY (FATIMA MEDICAL SCIENCE FOUNDATION) - VALENZUELA,Local,2041
CENTRO ESCOLAR UNIVERSITY - MANILA,Local,2022
SOUTHWESTERN UNIVERSITY,Local,1841
ATENEO DE MANILA UNIVERSITY - QUEZON CITY,Local,1782
VELEZ COLLEGE,Local,1750
DE LA SALLE UNIVERSITY - DASMARIÑAS,Local,1724
DAVAO MEDICAL SCHOOL FOUNDATION,Local,1665
EMILIO AGUINALDO COLLEGE,Local,1577
AMA COMPUTER COLLEGE - MAKATI,Local,1519
ANGELES UNIVERSITY FOUNDATION,Local,1337
SILLIMAN UNIVERSITY,Local,1303
AGO MEDICAL AND EDUCATIONAL CENTER - BICOL CHRISTIAN COLLEGE OF MEDICINE,Local,1284
XAVIER UNIVERSITY,Local,1228
BROKENSHIRE COLLEGE,Local,1226
ATENEO DE ZAMBOANGA UNIVERSITY,Local,1172
FEU - DR. NICANOR REYES MEDICAL FOUNDATION,Local,1151
LYCEUM NORTHWESTERN UNIVERSITY,Local,1048
UNIVERSITY OF SAN AGUSTIN,Local,995
ATENEO DE DAVAO UNIVERSITY,Local,981
DE LA SALLE HEALTH SCIENCES INSTITUTE,Local,952
TRINITY UNIVERSITY OF ASIA,Local,897
MANILA CENTRAL UNIVERSITY,Local,837
ATENEO DE MANILA UNIVERSITY,Local,751
CENTRAL PHILIPPINE UNIVERSITY,Local,697
VIRGEN MILAGROSA UNIVERSITY FOUNDATION AND VMU INSTITUTE OF MEDICAL FOUNDATION,Local,697
ADVENTIST UNIVERSITY OF THE PHILIPPINES,Local,672
SAINT PAUL UNIVERSITY PHILIPPINES,Local,662
UNIVERSITY OF ST. LA SALLE,Local,629
UNIVERSITY OF THE IMMACULATE CONCEPTION,Local,601
VELEZ COLLEGE CEBU,Local,559
UNIVERSITY OF THE EAST RAMON MAGSAYSAY MEMORIAL MEDICAL CENTER,Local,555
UNIVERSITY OF SAN CARLOS,Local,551
SAN BEDA COLLEGE,Local,530
SAN PEDRO COLLEGE DAVAO CITY,Local,512
MANILA TYTANA COLLEGES,Local,485
ANGELES UNIVERSITY FOUNDATION ANGELES CITY,Local,481
CENTRO ESCOLAR UNIVERSITY - MAKATI,Local,472
DOÑA REMEDIOS TRINIDAD ROMUALDEZ MEDICAL FOUNDATION,Local,468
DE LA SALLE UNIVERSITY - DASMARIÑAS CAVITE,Local,456
DAVAO DOCTORS COLLEGE,Local,444
LICEO DE CAGAYAN UNIVERSITY,Local,428
FAR EASTERN UNIVERSITY - NRMF (FAIRVIEW Q.C.),Local,427
OUR LADY OF FATIMA UNIVERSITY - QUEZON CITY,Local,423
MINDANAO SANITARIUM AND HOSPITAL COLLEGE,Local,393
CENTRO ESCOLAR UNIVERSITY - MENDIOLA MANILA,Local,382
SAINT LOUIS UNIVERSITY - BAGUIO,Local,380
DE LA SALLE - LIPA,Local,365
UNIVERSITY OF THE EAST - MANILA,Local,352
XAVIER UNIVERSITY CAGAYAN DE ORO CITY,Local,349
UNIVERSITY OF BAGUIO,Local,346
UNIVERSIDAD DE ZAMBOANGA,Local,323
UNIVERSITY OF THE CORDILLERAS,Local,310
ST. PAUL UNIVERSITY ILOILO,Local,305
ILOILO DOCTORS COLLEGE,Local,303
UNIVERSIDAD DE STA. ISABEL,Local,302
RIVERSIDE COLLEGE,Local,301
MOUNTAIN VIEW COLLEGE,Local,294
UNIVERSITY OF NEGROS OCCIDENTAL-RECOLETOS,Local,277
NOTRE DAME UNIVERSITY,Local,277
MIRIAM COLLEGE,Local,257
UNIVERSITY OF THE VISAYAS,Local,254
ATENEO DE NAGA UNIVERSITY,Local,253
SAINT SCHOLASTICA'S COLLEGE TACLOBAN,Local,250
MEDICAL COLLEGES OF NORTHERN PHILIPPINES,Local,250
LYCEUM OF THE PHILIPPINES UNIVERSITY - BATANGAS,Local,249
OUR LADY OF FATIMA UNIVERSITY VALENZUELA CITY,Local,247
LORMA COLLEGES,Local,233
SILLIMAN UNIVERSITY DUMAGUETE CITY,Local,227
SAINT MARY'S UNIVERSITY,Local,219
CAPITOL MEDICAL CENTER COLLEGES,Local,217
NOT SPECIFIED/UNLISTED,Local,214
ST. LOUIS UNIVERSITY BAGUIO CITY,Local,208
ARELLANO UNIVERSITY - MANILA,Local,203
COLEGIO SAN AGUSTIN - BACOLOD,Local,198
NOTRE DAME OF DADIANGAS UNIVERSITY,Local,198
PERPETUAL HELP COLLEGE OF MANILA,Local,197
UNIVERSITY OF PERPETUAL HELP - DR. JOSE G. TAMAYO MEDICAL UNIVERSITY,Local,196
MAKATI MEDICAL CENTER COLLEGE OF NURSING,Local,191
SOUTHWESTERN UNIVERSITY CEBU,Local,191
NOTRE DAME OF MARBEL UNIVERSITY,Local,186
ADAMSON UNIVERSITY,Local,184
OUR LADY OF FATIMA UNIVERSITY - ANTIPOLO,Local,175
SAN BEDA COLLEGE MENDIOLA MANILA,Local,175
NEW ERA UNIVERSITY,Local,171
HOLY NAME UNIVERSITY,Local,159
ST. PAUL UNIVERSITY - MANILA (ST. PAUL UNIVERITY SYSTEM),Local,159
ST. SCHOLASTICA'S COLLEGE,Local,158
UNIVERSITY OF SAN CARLOS CEBU CITY,Local,158
PINES CITY COLLEGES,Local,154
UNIVERSITY OF LA SALETTE,Local,152
SOUTHVILLE INTERNATIONAL SCHOOL AND COLLEGES,Local,151
UNIVERSITY OF ST. LOUIS - TUGUEGARAO,Local,150
CEBU DOCTORS COLLEGE CEBU CITY,Local,148
AQUINAS UNIVERSITY OF LEGAZPI,Local,146
MINDANAO MEDICAL FOUNDATION COLLEGE,Local,143
UNIVERSITY OF THE EAST (C.M. RECTO MANILA),Local,143
UNIVERSITY OF CEBU - BANILAD,Local,140
DE LA SALLE - HEALTH SCIENCES CAMPUS,Local,136
MISAMIS UNIVERSITY - OZAMIS CITY,Local,132
REMEDIOS TRINIDAD ROMUALDEZ MEDICAL FOUNDATION TACLOBAN,Local,130
ST. PAUL UNIVERSITY - QUEZON CITY,Local,129
UNIVERSITY OF SAN AGUSTIN - ILOILO CITY,Local,124
GENERAL SANTOS DOCTORS' MEDICAL SCHOOL FOUNDATION,Local,122
COLEGIO DE SAN JUAN DE LETRAN,Local,121
CHINESE GENERAL HOSPITAL COLLEGE OF NURSING AND LIBERAL ARTS,Local,119
UNIVERSITY OF PANGASINAN,Local,119
SAN JUAN DE DIOS EDUCATIONAL FOUNDATION,Local,117
EMILIO AGUINALDO COLLEGE MANILA,Local,117
DIVINE WORD COLLEGE OF LAOAG,Local,116
ST. PAUL UNIVERSITY - MANILA,Local,109
WESLEYAN UNIVERSITY - PHILIPPINES (CABANATUAN),Local,109
CENTRAL LUZON DOCTORS' HOSPITAL EDUCATIONAL INSTITUTION,Local,108
UNIVERSITY OF BAGUIO BAGUIO CITY,Local,106
HOLY ANGEL UNIVERSITY,Local,105
CAPITOL UNIVERSITY,Local,104
CENTRAL PHILIPPINE UNIVERSITY ILOILO,Local,104
GLOBAL CITY INNOVATIVE COLLEGE,Local,101
FEU - EAST ASIA COLLEGE,Local,101
UNIVERSITY OF ST. LA SALLE BACOLOD CITY,Local,99
ST. JUDE COLLEGE,Local,95
FATHER SATURNINO M. URIOS UNIVERSITY,Local,91
SOUTHWESTERN UNIVERSITY-MATIAS H. AZNAR MEMORIAL COLLEGE OF MEDICINE - CEBU CITY CEBU,Local,89
UNIVERSITY OF SOUTHERN PHILIPPINES FOUNDATION,Local,89
UERM MEMORIAL MEDICAL CENTER,Local,88
CENTRO ESCOLAR UNIVERSITY AT MALOLOS,Local,87
MANILA DOCTORS COLLEGE - PASAY CITY,Local,87
ILIGAN MEDICAL CENTER COLLEGE,Local,86
COLLEGE OF THE HOLY SPIRIT OF MANILA,Local,83
HOLY INFANT COLLEGE,Local,80
REMEDIOS T. ROMUALDEZ MEM. SCH. - MMC,Local,78
EASTER COLLEGE,Local,78
SOUTHEAST ASIAN COLLEGE,Local,78
VIRGEN MILAGROSA UNIV. FOUNDATION - SAN CARLOS CITY PANG.,Local,76
WORLD CITI COLLEGES QUEZON CITY,Local,76
DR. CARLOS S. LANTING COLLEGE,Local,76
THE PHILIPPINE WOMEN'S UNIVERSITY SYSTEM - MANILA,Local,75
CENTRAL PHILIPPINE ADVENTIST COLLEGE,Local,74
METROPOLITAN HOSPITAL COLLEGE OF NURSING,Local,74
BRENT HOSPITAL AND COLLEGES,Local,73
ST. ALEXIUS COLLEGE,Local,71
MANILA ADVENTIST MEDICAL CENTER AND COLLEGES,Local,71
UNIVERSITY OF VISAYAS CEBU,Local,69
UNIVERSITY OF NUEVA CACERES,Local,67
UNIVERSITY OF PERPETUAL HELP DALTA SYSTEM-LAS PIÑAS,Local,67
NOTRE DAME OF JOLO COLLEGE,Local,65
LYCEUM NORTHWESTERN DAGUPAN CITY,Local,64
UNIVERSITY OF THE CORDILLERAS (BCF),Local,63
LA CONSOLACION COLLEGE - MANILA,Local,62
ASSUMPTION COLLEGE,Local,62
DE LA SALLE - LIPA BATANGAS,Local,61
UNIVERSITY OF THE EAST - RAMON MAGSAYSAY MEM. MEDICAL CENTER,Local,60
MANILA DOCTORS COLLEGE U.N. AVENUE MANILA,Local,59
UNIVERSITY OF SAN JOSE - RECOLETOS,Local,58
SACRED HEART COLLEGE OF LUCENA,Local,57
BUTUAN DOCTORS COLLEGE,Local,57
NOTRE DAME UNIVERSITY COTABATO CITY,Local,56
DIPOLOG MEDICAL CENTER COLLEGE FOUNDATION,Local,55
ST. PAUL UNIVERSITY DUMAGUETE,Local,55
OUR LADY OF FATIMA UNIVERSITY - LAGRO QUEZON CITY,Local,53
MIRIAM COLLEGE FOUNDATION INC.,Local,52
BAGUIO CENTRAL UNIVERSITY,Local,52
