UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
UNIVERSITY OF THE PHILIPPINES - MANILA,Local,3629
UNIVERSITY OF THE PHILIPPINES - DILIMAN,Local,3238
UNIVERSITY OF NORTHERN PHILIPPINES - MAIN,Local,2458
CAGAYAN STATE UNIVERSITY - TUGUEGARAO (CARIG),Local,1386
UNIVERSITY OF THE PHILIPPINES - LOS BAÑOS,Local,1321
WEST VISAYAS STATE UNIVERSITY - MAIN,Local,1245
PAMANTASAN NG LUNGSOD NG MAYNILA,Local,1238
MINDANAO STATE UNIVERSITY - ILIGAN INSTITUTE OF TECHNOLOGY,Local,1185
MINDANAO STATE UNIVERSITY - MARAWI,Local,1005
WESTERN MINDANAO STATE UNIVERSITY,Local,863
BICOL UNIVERSITY - MAIN,Local,740
UNIVERSITY OF THE PHILIPPINES - BAGUIO,Local,693
UNIVERSITY OF THE PHILIPPINES - VISAYAS,Local,674
UNIVERSITY OF THE PHILIPPINES - LOS BANOS LAGUNA,Local,487
UNIVERSITY OF THE PHILIPPINES - MINDANAO,Local,363
WEST VISAYAS STATE UNIVERSITY ILOILO,Local,360
CEBU NORMAL UNIVERSITY,Local,356
MINDANAO STATE UNIVERSITY MARAWI CITY,Local,344
CENTRAL MINDANAO UNIVERSITY,Local,327
MARIANO MARCOS STATE UNIVERSITY - MAIN,Local,313
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,Local,304
PALAWAN STATE UNIVERSITY,Local,253
UNIVERSITY OF THE PHILIPPINES - COLLEGE OF CEBU,Local,244
CAGAYAN STATE UNIVERSITY - ANDREWS,Local,241
MINDANAO STATE UNIVERSITY ILIGAN CITY,Local,203
BULACAN STATE UNIVERSITY - MAIN,Local,201
UNIVERSITY OF THE PHILIPPINES - BAGUIO CITY,Local,195
UNIVERSITY OF THE PHILIPPINES - VISAYAS ILOILO,Local,182
UNIVERSITY OF THE PHILIPPINES IN THE VISAYAS TACLOBAN COLLEGE,Local,171
MINDANAO STATE UNIVERSITY - GENERAL SANTOS,Local,158
WESTERN MINDANAO STATE UNIVERSITY ZAMBOANGA CITY,Local,145
BENGUET STATE UNIVERSITY - MAIN,Local,142
