Population,Threshold_pctile,Above_and_Linked,Above_and_NotLinked,Below_and_Linked,Below_and_NotLinked,Total,Base_rate_linked_pct,Sensitivity_pct,Specificity_pct,PPV_pct,NPV_pct
best_obs (incl. ambiguous keys),30,27145,22478,3843,15280,68746,45.08,87.6,40.47,54.7,79.9
best_obs (incl. ambiguous keys),35,26058,20326,4930,17432,68746,45.08,84.09,46.17,56.18,77.95
best_obs (incl. ambiguous keys),40,24815,18335,6173,19423,68746,45.08,80.08,51.44,57.51,75.88
best_obs (incl. ambiguous keys),45,23384,16549,7604,21209,68746,45.08,75.46,56.17,58.56,73.61
best_obs (incl. ambiguous keys),50,21812,14756,9176,23002,68746,45.08,70.39,60.92,59.65,71.48
best_obs_clean (ambiguous keys excluded),30,26521,21389,3726,14712,66348,45.59,87.68,40.75,55.36,79.79
best_obs_clean (ambiguous keys excluded),35,25467,19318,4780,16783,66348,45.59,84.2,46.49,56.87,77.83
best_obs_clean (ambiguous keys excluded),40,24261,17397,5986,18704,66348,45.59,80.21,51.81,58.24,75.76
best_obs_clean (ambiguous keys excluded),45,22874,15673,7373,20428,66348,45.59,75.62,56.59,59.34,73.48
best_obs_clean (ambiguous keys excluded),50,21348,13958,8899,22143,66348,45.59,70.58,61.34,60.47,71.33
