pk_hash,linked_pct,linked_year,linked_method,max_pct,max_pct_year,latest_pct,latest_year,n_attempts,gap,band,is_not_highest,pct_diff,is_dup_best
3f24964a771e,6.0,2014,EXACT,6.0,2014,6.0,2014,1,7.0,B1,False,0.0,False
0d9e5951efef,33.0,2010,EXACT,33.0,2010,33.0,2010,1,5.0,B4,False,0.0,False
f516172f94a3,7.0,2006,EXACT,7.0,2006,7.0,2006,1,10.0,B1,False,0.0,False
b09769eb1c20,32.0,2010,EXACT,32.0,2010,32.0,2010,1,6.0,B4,False,0.0,False
89e7f941b2d5,20.0,2009,EXACT,20.0,2009,20.0,2009,1,10.0,B3,False,0.0,False
3cf98371ad66,6.0,2014,DETERMINISTIC_APPNO,6.0,2014,6.0,2014,1,,B1,False,0.0,False
da95f351ce53,30.0,2010,MANUAL_APPNO_MATCH,30.0,2010,30.0,2010,1,,B4,False,0.0,False
198d09580e03,36.0,2011,EXACT,36.0,2011,36.0,2011,1,8.0,B4,False,0.0,False
e81c16721625,25.0,2009,EXACT,25.0,2009,25.0,2009,1,7.0,B3,False,0.0,False
345d298f564e,11.0,2010,EXACT,11.0,2010,11.0,2010,1,7.0,B2,False,0.0,False
0888de287b9f,27.0,2006,EXACT,27.0,2006,27.0,2006,1,6.0,B3,False,0.0,False
642da63642ee,14.0,2009,EXACT,14.0,2009,14.0,2009,1,7.0,B2,False,0.0,False
e989db4ffe6b,20.0,2010,EXACT,20.0,2010,20.0,2010,1,9.0,B3,False,0.0,False
78fb1855192b,9.0,2011,EXACT,9.0,2011,9.0,2011,1,7.0,B1,False,0.0,False
0bacff55c434,26.0,2011,EXACT,26.0,2011,26.0,2011,1,6.0,B3,False,0.0,False
9ae16f53feb8,9.0,2006,EXACT,9.0,2006,9.0,2006,1,5.0,B1,False,0.0,False
faac0c3aaa2b,22.0,2007,EXACT,22.0,2007,22.0,2007,1,7.0,B3,False,0.0,False
7e024cd325db,16.0,2009,MANUAL_APPNO_MATCH,16.0,2009,16.0,2009,1,,B2,False,0.0,False
0b079ca424bd,32.0,2008,EXACT,32.0,2008,32.0,2008,1,10.0,B4,False,0.0,False
9547123fea20,36.0,2010,EXACT,36.0,2010,36.0,2010,1,5.0,B4,False,0.0,False
a64885ae3182,18.0,2011,EXACT,18.0,2011,18.0,2011,1,6.0,B2,False,0.0,False
901eabadc540,13.0,2006,EXACT,13.0,2006,13.0,2006,1,9.0,B2,False,0.0,False
1ca790ba3fd7,6.0,2010,EXACT,6.0,2010,6.0,2010,1,7.0,B1,False,0.0,False
6dded443e1d8,31.0,2011,EXACT,31.0,2011,31.0,2011,1,7.0,B4,False,0.0,False
1f71590328a1,19.0,2012,EXACT,19.0,2012,19.0,2012,1,8.0,B2,False,0.0,False
47ea289e23c6,32.0,2012,EXACT,32.0,2012,32.0,2012,1,7.0,B4,False,0.0,False
c89b880834b4,36.0,2011,EXACT,36.0,2011,36.0,2011,1,6.0,B4,False,0.0,False
0dd754dd7479,38.0,2006,EXACT,38.0,2006,38.0,2006,1,7.0,B4,False,0.0,False
57b51883b3ba,37.0,2010,EXACT,37.0,2010,37.0,2010,1,5.0,B4,False,0.0,False
238fac26b1f5,7.0,2012,EXACT,7.0,2012,7.0,2012,1,8.0,B1,False,0.0,False
cee68a74fb0d,10.0,2008,EXACT,10.0,2008,10.0,2008,1,8.0,B2,False,0.0,False
6da587857adc,34.0,2009,EXACT,34.0,2009,34.0,2009,1,8.0,B4,False,0.0,False
b04d9302465b,1.0,2010,MANUAL_APPNO_MATCH,1.0,2010,1.0,2010,1,,B1,False,0.0,False
9356e85468ef,31.0,2011,EXACT,31.0,2011,31.0,2011,1,6.0,B4,False,0.0,False
5467fdd24606,32.0,2009,EXACT,32.0,2009,32.0,2009,1,10.0,B4,False,0.0,False
190cd45c77bd,6.0,2007,EXACT,6.0,2007,6.0,2007,1,6.0,B1,False,0.0,False
2983f4bc6264,24.0,2007,MANUAL_APPNO_MATCH,24.0,2007,24.0,2007,2,,B3,False,0.0,False
7bf5b1fab851,24.0,2009,EXACT,24.0,2009,24.0,2009,1,9.0,B3,False,0.0,False
0d7c998d5479,31.0,2006,EXACT,31.0,2006,31.0,2006,1,8.0,B4,False,0.0,False
233ea6f55f6a,27.0,2009,EXACT,27.0,2009,27.0,2009,1,7.0,B3,False,0.0,False
686beafc901c,21.0,2006,MANUAL_APPNO_MATCH,30.0,2007,30.0,2007,2,,B3,True,9.0,False
1c1742d9e19c,12.0,2009,EXACT,12.0,2009,12.0,2009,1,10.0,B2,False,0.0,False
0d3fc50b83cc,25.0,2011,MANUAL_APPNO_MATCH,25.0,2011,25.0,2011,1,,B3,False,0.0,False
6de491852db8,12.0,2007,EXACT,12.0,2007,12.0,2007,1,6.0,B2,False,0.0,False
bca782b82ab5,9.0,2009,EXACT,9.0,2009,9.0,2009,1,6.0,B1,False,0.0,False
637903acfa56,15.0,2013,EXACT,15.0,2013,15.0,2013,1,6.0,B2,False,0.0,False
e77f137b827b,10.0,2007,EXACT,10.0,2007,10.0,2007,1,11.0,B2,False,0.0,False
b9d7dffb491b,30.0,2010,EXACT,30.0,2010,30.0,2010,1,7.0,B4,False,0.0,False
e67f7ab03161,11.0,2008,EXACT,11.0,2008,11.0,2008,1,7.0,B2,False,0.0,False
670b5ea65fd6,23.0,2011,EXACT,23.0,2011,23.0,2011,1,7.0,B3,False,0.0,False
1cfdf7381c50,38.0,2008,EXACT,38.0,2008,38.0,2008,1,7.0,B4,False,0.0,False
81bbb5170383,30.0,2011,EXACT,30.0,2011,30.0,2011,1,6.0,B4,False,0.0,False
83cacc514e50,30.0,2013,EXACT,30.0,2013,30.0,2013,1,6.0,B4,False,0.0,False
3a5ebd0d04c4,6.0,2009,EXACT,6.0,2009,6.0,2009,1,7.0,B1,False,0.0,False
7a821d7a50b2,22.0,2006,EXACT,22.0,2006,22.0,2006,1,7.0,B3,False,0.0,False
837cd14dcf4f,34.0,2008,EXACT,34.0,2008,34.0,2008,1,6.0,B4,False,0.0,False
89078d1fbe30,7.0,2009,EXACT,7.0,2009,7.0,2009,1,5.0,B1,False,0.0,False
dc8cfaaeb046,27.0,2010,EXACT,27.0,2010,27.0,2010,1,5.0,B3,False,0.0,False
ba83ca6b4d9e,27.0,2010,EXACT,27.0,2010,27.0,2010,1,7.0,B3,False,0.0,False
d998248979fa,26.0,2013,EXACT,26.0,2013,26.0,2013,1,5.0,B3,False,0.0,False
37d91214baa9,26.0,2010,EXACT,26.0,2010,26.0,2010,1,8.0,B3,False,0.0,False
c8464541ad7e,36.0,2011,EXACT,36.0,2011,36.0,2011,1,6.0,B4,False,0.0,False
2788c35f5610,23.0,2014,EXACT,23.0,2014,23.0,2014,1,5.0,B3,False,0.0,False
ca075cfd18d4,35.0,2009,MANUAL_APPNO_MATCH,35.0,2009,35.0,2009,1,,B4,False,0.0,False
86d0b726b6c1,28.0,2011,EXACT,28.0,2011,28.0,2011,1,6.0,B3,False,0.0,False
2470c5279249,11.0,2012,EXACT,11.0,2012,11.0,2012,1,7.0,B2,False,0.0,False
60a555792433,2.0,2009,EXACT,2.0,2009,2.0,2009,1,5.0,B1,False,0.0,False
6dcb8a2828ee,21.0,2008,EXACT,21.0,2008,21.0,2008,1,6.0,B3,False,0.0,False
2840b0d6c9d6,25.0,2010,EXACT,25.0,2010,25.0,2010,1,6.0,B3,False,0.0,False
ec3a98b96162,30.0,2006,EXACT,30.0,2006,30.0,2006,1,6.0,B4,False,0.0,False
3b281c10a625,26.0,2011,EXACT,26.0,2011,26.0,2011,1,7.0,B3,False,0.0,False
4134acac97ac,39.0,2010,EXACT,39.0,2010,39.0,2010,1,5.0,B4,False,0.0,False
0277f3cbc00f,30.0,2009,EXACT,30.0,2009,30.0,2009,1,7.0,B4,False,0.0,False
075a074c9aa8,37.0,2006,EXACT,37.0,2006,37.0,2006,1,5.0,B4,False,0.0,False
f03722282b2d,35.0,2014,EXACT,35.0,2014,35.0,2014,1,5.0,B4,False,0.0,False
0d0fa3f8c968,36.0,2012,EXACT,36.0,2012,36.0,2012,1,6.0,B4,False,0.0,False
4cd148a8dd49,19.0,2007,EXACT,19.0,2007,19.0,2007,1,6.0,B2,False,0.0,False
32d98b14e7a9,21.0,2009,EXACT,21.0,2009,21.0,2009,1,8.0,B3,False,0.0,False
90237bb8d08a,28.0,2007,MANUAL_APPNO_MATCH,28.0,2007,28.0,2007,1,,B3,False,0.0,False
0e252d3793d2,25.0,2012,EXACT,25.0,2012,25.0,2012,1,6.0,B3,False,0.0,False
e71adfdc5d5a,24.0,2008,EXACT,24.0,2008,24.0,2008,1,6.0,B3,False,0.0,False
27bf575df0dc,22.0,2006,EXACT,22.0,2006,22.0,2006,1,9.0,B3,False,0.0,False
3d47d0948898,28.0,2010,EXACT,28.0,2010,28.0,2010,1,6.0,B3,False,0.0,False
f81d56882d5a,15.0,2012,EXACT,15.0,2012,15.0,2012,1,6.0,B2,False,0.0,False
b9cf2bb0317e,26.0,2008,EXACT,26.0,2008,26.0,2008,1,6.0,B3,False,0.0,False
62c5a0cb3331,28.0,2009,EXACT,28.0,2009,28.0,2009,1,6.0,B3,False,0.0,False
791a3c106c34,14.0,2011,EXACT,14.0,2011,14.0,2011,1,8.0,B2,False,0.0,False
a53a6c4386fe,22.0,2007,EXACT,22.0,2007,22.0,2007,1,6.0,B3,False,0.0,False
faac6dccfc61,32.0,2011,MANUAL_APPNO_MATCH,32.0,2011,32.0,2011,1,,B4,False,0.0,False
f0d92052cf5e,22.0,2008,EXACT,22.0,2008,22.0,2008,1,6.0,B3,False,0.0,False
fc8e10e723a6,30.0,2006,EXACT,30.0,2006,30.0,2006,1,6.0,B4,False,0.0,False
c7cd95f11059,39.0,2014,EXACT,39.0,2014,39.0,2014,1,5.0,B4,False,0.0,False
