Band,N_observable,N_linked,Linkage_rate_pct,Population
B1,6853,740,10.8,best_obs (incl. ambiguous keys)
B2,5884,1219,20.72,best_obs (incl. ambiguous keys)
B3,5813,1551,26.68,best_obs (incl. ambiguous keys)
B4,6473,2155,33.29,best_obs (incl. ambiguous keys)
B5,6582,2852,43.33,best_obs (incl. ambiguous keys)
B6,6284,2976,47.36,best_obs (incl. ambiguous keys)
B7,6359,3214,50.54,best_obs (incl. ambiguous keys)
B8,6704,3534,52.71,best_obs (incl. ambiguous keys)
B9,7263,4323,59.52,best_obs (incl. ambiguous keys)
B10,9958,6946,69.75,best_obs (incl. ambiguous keys)
B1,6611,714,10.8,best_obs_clean (ambiguous keys excluded)
B2,5648,1170,20.72,best_obs_clean (ambiguous keys excluded)
B3,5623,1509,26.84,best_obs_clean (ambiguous keys excluded)
B4,6252,2083,33.32,best_obs_clean (ambiguous keys excluded)
B5,6352,2762,43.48,best_obs_clean (ambiguous keys excluded)
B6,6051,2892,47.79,best_obs_clean (ambiguous keys excluded)
B7,6109,3120,51.07,best_obs_clean (ambiguous keys excluded)
B8,6413,3456,53.89,best_obs_clean (ambiguous keys excluded)
B9,7002,4230,60.41,best_obs_clean (ambiguous keys excluded)
B10,9731,6830,70.19,best_obs_clean (ambiguous keys excluded)
