Section,Metric,Value
1,row-level observable cohort (IS_OBSERVABLE_COHORT),88144.0
1,person-level best-in-window (IS_BEST_OBSERVABLE_RECORD),69503.0
1,"PERSON_KEY_AMBIGUOUS keys, dataset-wide",6148.0
1,PERSON_KEY_AMBIGUOUS people within best_obs,2400.0
1,best_obs_clean (ambiguous excluded),67103.0
2,B4 linkage rate pct (best_obs_clean),33.32
2,B5 linkage rate pct (best_obs_clean),43.48
2,B4->B5 jump (points),10.159999999999997
4,"APPNO-based matched rows, current parquet",3057.0
4,coverage pct (matched in PLE_MATCH_MASTER.csv),76.28
4,genuine_mismatch raw (checked pop.),50.0
4,genuine_mismatch after normaliser (checked pop.),35.0
4,"genuine_mismatch raw, low-score(<40) subset",12.0
4,"genuine_mismatch after normaliser, low-score(<40) subset",9.0
